working_from,working_to,classification,source_version,source_path,path_role,mapping_notes
duration,bone_resorption,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Duration is absent from the source. Altered Gravity -> Bone Resorption is present but Duration is not an exact replacement for Altered Gravity.
duration,bone_formation,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Duration is absent from the source; no exact source edge or endpoint mapping is established.
bone_formation,urine_chemistry,retained_direct,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,Bone Formation -> Urine Chemistry,direct_edge,Exact directed source edge after case/identifier normalization. The near-null simulation coefficient is a separate study assumption.
bone_resorption,urinary_calcium_excretion,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Urinary calcium excretion is an added node resolving part of the source Bone Resorption -> Urine Chemistry mechanism; the added edge is not in the source.
bone_resorption,parathyroid_suppression,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Parathyroid suppression is an added mechanistic node; no exact source edge.
parathyroid_suppression,urinary_calcium_excretion,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Both endpoints are added mechanistic nodes; no exact source edge.
hypercalciuria_predisposition,bone_resorption,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Hypercalciuria predisposition is absent from the source; no exact source edge.
hypercalciuria_predisposition,urinary_calcium_excretion,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Both endpoints are added nodes; no exact source edge.
urinary_calcium_excretion,urine_chemistry,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Urinary calcium excretion is an added component of the broader urine chemistry mechanism; no exact source edge.
urinary_calcium_excretion,nephrolithiasis,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Added interaction-only relationship with hydration_fluid_intake in the working specification. Urinary calcium excretion is absent from the source; no exact source edge.
duration,nephrolithiasis,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,"Duration is absent from the source; the direct link is a study adaptation, not a demonstrated collapse of this source graph."
sex,nephrolithiasis,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,"Sex is absent as a separate source node. Individual Factors -> Nephrolithiasis exists, but a one-to-one Sex-to-Individual-Factors mapping is not established."
hydration_fluid_intake,urine_chemistry,collapsed_source_path,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,Hydration -> Urine Concentration -> Urine Chemistry,omitted_intermediate_path,"Urine Concentration is omitted. Working hydration_fluid_intake combines source Hydration and Water Intake, which are distinct nodes; the path begins at the Hydration component."
hydration_fluid_intake,nephrolithiasis,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,Hydration -> Urine Concentration -> Urine Chemistry -> Mineralized Renal Material -> Nephrolithiasis,compatible_path_not_simple_collapse,"The compatible directed source path passes through Urine Chemistry, which remains in the working graph. This direct shortcut is therefore a study adaptation, not a simple omitted-intermediate collapse. Hydration/fluid intake also combines distinct source variables."
history_of_nephrolithiasis,urine_chemistry,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Stone history is absent as a separate source node. Individual Factors is not a verified one-to-one replacement and does not have a source path to Urine Chemistry.
vitamin_d_inflight,urine_chemistry,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,In-flight vitamin D is absent from the source; no exact source edge.
nutrients_risk,urine_chemistry,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,Nutrients -> Bone Resorption -> Urine Chemistry,compatible_path_not_simple_collapse,"The compatible directed source path passes through Bone Resorption, which remains in the working graph. This direct shortcut is a study adaptation, not a simple omitted-intermediate collapse. Nutrients risk is mapped semantically to Nutrients."
nutrients_risk,urinary_oxalate_excretion,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Urinary oxalate excretion is an added mechanistic node; no exact source edge.
urinary_oxalate_excretion,urine_chemistry,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Urinary oxalate excretion is an added component of the broader urine chemistry mechanism; no exact source edge.
duration,vitamin_d_inflight,study_added,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,,no_exact_endpoint_path,Both Duration and in-flight vitamin D are absent from the source. Earlier confirmed_mechanism status is not evidence of a verbatim source-DAG edge.
urine_chemistry,nephrolithiasis,collapsed_source_path,Robert Reynolds renal DAG Errata 20220322; received 2026-07-13,Urine Chemistry -> Mineralized Renal Material -> Nephrolithiasis,omitted_intermediate_path,Mineralized Renal Material is omitted; the exact two-edge source path is collapsed into one working edge.
